Round,College,Code,Branch,OC,BC,BCM,MBC,MBCDNC,MBCV,SC,SCA,ST
1110,"Prathyusha Engineering College (Autonomous), Poonamallee-Tiruvallur High Road, Aranvoyalkuppam, Tiruvallur-602025.",CB,COMPUTER SCIENCE AND BUSSINESS SYSTEM,102139,155790,0,138857,0,0,0,0,0
1110,"Prathyusha Engineering College (Autonomous), Poonamallee-Tiruvallur High Road, Aranvoyalkuppam, Tiruvallur-602025.",CS,COMPUTER SCIENCE AND ENGINEERING,81455,117245,0,120581,0,0,180998,0,0
1110,"Prathyusha Engineering College (Autonomous), Poonamallee-Tiruvallur High Road, Aranvoyalkuppam, Tiruvallur-602025.",EC,ELECTRONICS AND COMMUNICATION ENGINEERING,95581,140434,0,132891,0,0,0,196874,0
1110,"Prathyusha Engineering College (Autonomous), Poonamallee-Tiruvallur High Road, Aranvoyalkuppam, Tiruvallur-602025.",EE,ELECTRICAL AND ELECTRONICS ENGINEERING,190506,0,0,0,0,0,0,0,0
1110,"Prathyusha Engineering College (Autonomous), Poonamallee-Tiruvallur High Road, Aranvoyalkuppam, Tiruvallur-602025.",IT,INFORMATION TECHNOLOGY,98205,115175,0,114515,0,0,168758,0,0
1110,"Prathyusha Engineering College (Autonomous), Poonamallee-Tiruvallur High Road, Aranvoyalkuppam, Tiruvallur-602025.",ME,MECHANICAL ENGINEERING,192731,0,0,0,0,0,0,0,0
1110,"Prathyusha Engineering College (Autonomous), Poonamallee-Tiruvallur High Road, Aranvoyalkuppam, Tiruvallur-602025.",SC,Computer Science and Engineering (Cyber Security),106480,137040,0,155638,0,0,0,0,0
1112,"R.M.D. Engineering College (Autonomous), R.S.M. Nagar, Gummidipoondi Taluk, Kavaraipettai,  Thiruvallur-601206.",AL,Artificial Intelligence and Machine Learning,30332,38485,39950,49785,0,0,109057,0,125766
1112,"R.M.D. Engineering College (Autonomous), R.S.M. Nagar, Gummidipoondi Taluk, Kavaraipettai,  Thiruvallur-601206.",CB,COMPUTER SCIENCE AND BUSSINESS SYSTEM,32808,37417,0,53212,0,0,114362,0,0
1112,"R.M.D. Engineering College (Autonomous), R.S.M. Nagar, Gummidipoondi Taluk, Kavaraipettai,  Thiruvallur-601206.",CS,COMPUTER SCIENCE AND ENGINEERING,22558,30425,48880,35379,0,0,86078,0,0
1112,"R.M.D. Engineering College (Autonomous), R.S.M. Nagar, Gummidipoondi Taluk, Kavaraipettai,  Thiruvallur-601206.",EC,ELECTRONICS AND COMMUNICATION ENGINEERING,30249,35264,58836,48535,0,0,101695,167733,0
1112,"R.M.D. Engineering College (Autonomous), R.S.M. Nagar, Gummidipoondi Taluk, Kavaraipettai,  Thiruvallur-601206.",IT,INFORMATION TECHNOLOGY,28864,37025,50239,43504,0,0,111056,165641,0
1113,"R.M.K. Engineering College (Autonomous), R.S.M. Nagar, Kavaraipettai, Gummidipoondi Taluk, Thiruvallur-601206.",AD,Artificial Intelligence and Data Science,15301,21908,41208,24473,0,0,81050,129474,0
1113,"R.M.K. Engineering College (Autonomous), R.S.M. Nagar, Kavaraipettai, Gummidipoondi Taluk, Thiruvallur-601206.",CB,COMPUTER SCIENCE AND BUSSINESS SYSTEM,19643,25586,46557,33245,0,0,70770,152838,0
1113,"R.M.K. Engineering College (Autonomous), R.S.M. Nagar, Kavaraipettai, Gummidipoondi Taluk, Thiruvallur-601206.",CD,COMPUTER SCIENCE AND DESIGN,27832,33440,0,35570,0,0,110833,0,0
1113,"R.M.K. Engineering College (Autonomous), R.S.M. Nagar, Kavaraipettai, Gummidipoondi Taluk, Thiruvallur-601206.",CE,CIVIL  ENGINEERING,65528,83005,155765,99002,0,0,106334,0,0
1113,"R.M.K. Engineering College (Autonomous), R.S.M. Nagar, Kavaraipettai, Gummidipoondi Taluk, Thiruvallur-601206.",CS,COMPUTER SCIENCE AND ENGINEERING,11550,17312,28824,19363,0,0,48245,132851,0
1113,"R.M.K. Engineering College (Autonomous), R.S.M. Nagar, Kavaraipettai, Gummidipoondi Taluk, Thiruvallur-601206.",EA,Electronics and Communication (Advanced Communication Technology),23380,31979,34651,42119,0,0,96722,186479,0
1113,"R.M.K. Engineering College (Autonomous), R.S.M. Nagar, Kavaraipettai, Gummidipoondi Taluk, Thiruvallur-601206.",EC,ELECTRONICS AND COMMUNICATION ENGINEERING,16874,21739,32050,32722,0,0,60518,0,111204
1113,"R.M.K. Engineering College (Autonomous), R.S.M. Nagar, Kavaraipettai, Gummidipoondi Taluk, Thiruvallur-601206.",EE,ELECTRICAL AND ELECTRONICS ENGINEERING,25089,41439,35985,42687,0,0,107130,0,0
1113,"R.M.K. Engineering College (Autonomous), R.S.M. Nagar, Kavaraipettai, Gummidipoondi Taluk, Thiruvallur-601206.",EV,Electronics Engineering (VLSI Design and Technology),29610,41862,51738,43867,0,0,109258,0,0
1113,"R.M.K. Engineering College (Autonomous), R.S.M. Nagar, Kavaraipettai, Gummidipoondi Taluk, Thiruvallur-601206.",IT,INFORMATION TECHNOLOGY,16472,21065,30114,28630,0,0,56544,0,176382
1113,"R.M.K. Engineering College (Autonomous), R.S.M. Nagar, Kavaraipettai, Gummidipoondi Taluk, Thiruvallur-601206.",ME,MECHANICAL ENGINEERING,39394,58132,96311,51256,0,0,104139,0,0
1114,"S.A. Engineering College (Autonomous), Poonamallee- Avadi Road, Thiruverkadu Post, Tiruvallur, Chennai-600077.",AD,Artificial Intelligence and Data Science,61774,89432,96696,85177,0,0,145013,0,0
